"caso_id","intervencion_fecha_hora","victima_embarazo","victima_edad","victima_genero","victima_nacionalidad","victima_discapacidad","violencia_tipo","agresor_relacion_victima"
"418880","2019-09-20 10:00:00","NO","22","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"418882","2019-09-20 14:30:00","NO","29","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"418877","2019-09-20 02:30:00","NS/NC","35","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"418911","2019-09-21 14:15:00","NO","16","Masculino","Argentina","NO","Física","Padre"
"418911","2019-09-21 14:15:00","NO","10","Femenino","Argentina","NO","Psicológica","Padre"
"418810","2019-09-21 16:00:00","NO","35","Femenino","Argentina","NO","Psicológica","Espos@/compañer@ actual"
"418911","2019-09-21 14:15:00","NO","39","Femenino","Boliviana","NO","Económica y Física","Espos@/compañer@ actual"
"418938","2019-09-22 11:00:00","SI","35","Femenino","Argentina","NS/NC","Física y Sexual","Espos@/compañer@ actual"
"418942","2019-09-22 22:20:00","NS/NC","Sin dato","Ns/Nc","Argentina","NS/NC","No es un caso de violencia Familiar","NS/NC"
"418969","2019-09-23 14:00:00","NS/NC","1","Masculino","Argentina","NS/NC","Psicológica","Espos@/compañer@ actual"
"418969","2019-09-23 14:00:00","NS/NC","6","Masculino","Argentina","NS/NC","Psicológica","Espos@/compañer@ actual"
"418969","2019-09-23 14:00:00","NO","6","Masculino","Argentina","NS/NC","Psicológica","Padre"
"418969","2019-09-23 14:00:00","NO","1","Masculino","Argentina","NS/NC","Psicológica","Padre"
"418930","2019-09-23 08:30:00","NO","3","Masculino","Argentina","NO","Psicológica","Padre"
"418930","2019-09-23 08:30:00","NO","26","Femenino","Peruana","NO","Física","Ex espos@/pareja"
"418969","2019-09-23 14:00:00","NS/NC","4","Femenino","Argentina","NS/NC","Psicológica","Padre"
"418969","2019-09-23 14:00:00","NO","1","Femenino","Argentina","NO","Psicológica","Padre"
"418969","2019-09-23 14:00:00","NO","7","Femenino","Argentina","NO","Psicológica","Padre"
